GENE	ctrl1	ctrl2	ctrl3	treat1	treat2	treat3
0610005C13Rik	1438	1104	1825	1348	1154	1005
0610007N19Rik	1012	1152	1139	878	885	835
0610007P14Rik	704	796	881	826	865	929
0610009B22Rik	757	802	780	885	853	987
0610009D07Rik	1107	1183	1220	1258	1221	1428
0610009L18Rik	129	154	139	138	166	179
0610009O20Rik	1585	1791	1729	2004	1951	2215
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	401	455	484	499	509	622
0610010K14Rik	618	743	812	703	792	807
0610011F06Rik	2614	2352	2973	2620	2466	2545
0610012G03Rik	1232	1326	1368	1640	1740	2071
0610012H03Rik	1071	943	1495	854	784	648
0610030E20Rik	722	857	846	724	715	797
0610031J06Rik	2555	2910	3033	3512	3967	4234
0610031O16Rik	8	2	8	2	1	0
0610037L13Rik	550	634	621	631	649	695
0610038B21Rik	12	5	14	9	3	3
0610039K10Rik	4	2	7	5	0	3
0610040B10Rik	18	22	19	15	27	24
0610040F04Rik	99	59	144	66	50	58
0610040J01Rik	1496	1708	1718	1735	1915	2087
0610043K17Rik	29	17	27	9	9	8
1010001N08Rik	0	1	1	1	1	0
1100001G20Rik	0	0	0	0	0	0
1110001A16Rik	328	314	352	346	366	390
1110001J03Rik	1292	1434	1418	1488	1666	2065
1110002L01Rik	32	40	44	58	66	73
1110004E09Rik	507	566	643	572	577	658
1110004F10Rik	909	1021	1009	1071	1134	1232
1110006O24Rik	40	37	38	36	40	46
1110007C09Rik	473	516	481	552	570	629
1110008F13Rik	744	843	879	834	880	951
1110008L16Rik	349	411	411	413	398	419
1110008P14Rik	884	1092	1016	1209	1264	1389
1110012L19Rik	345	416	368	377	409	492
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	1	2	0	1	2
1110019D14Rik	149	162	175	127	127	177
1110020A21Rik	26	27	37	29	44	31
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	0	1	1	1	0	0
1110028F18Rik	0	0	0	0	0	0
1110032A03Rik	1092	1066	1168	1127	1258	1258
1110032F04Rik	100	46	155	24	18	26
1110034G24Rik	154	186	177	171	155	224
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	1032	1225	1241	1223	1225	1423
1110038B12Rik	192	154	166	192	214	170
1110038F14Rik	413	493	425	429	490	521
1110046J04Rik	8	6	14	6	10	7
1110051M20Rik	492	522	553	460	510	564
1110054M08Rik	176	165	194	181	163	228
1110057K04Rik	949	1045	1087	1158	1013	1164
1110058L19Rik	536	548	580	553	630	674
1110059E24Rik	367	436	442	377	421	518
1110059G10Rik	362	389	410	369	444	455
1110059M19Rik	0	0	0	0	0	0
1110065P20Rik	233	255	260	284	240	297
1190002F15Rik	58	38	75	76	48	91
1190002N15Rik	496	751	625	432	575	519
1190003K10Rik	0	0	0	1	0	0
1190005I06Rik	34	32	26	28	42	38
1190007I07Rik	203	205	199	212	245	240
1200014J11Rik	589	720	746	692	703	826
1300002E11Rik	525	622	649	687	625	685
1300002K09Rik	270	169	385	180	147	190
1300017J02Rik	0	1	0	2	0	0
1500004A13Rik	45	61	38	47	41	43
1500009C09Rik	0	1	0	0	0	0
1500009L16Rik	5	15	6	2	8	1
1500011B03Rik	231	291	286	298	342	341
1500011K16Rik	652	753	722	712	756	797
1500012F01Rik	268	285	275	260	269	245
1500012K07Rik	0	0	0	0	0	0
1500015A07Rik	68	88	79	100	110	114
1500015L24Rik	0	0	0	0	0	0
1500015O10Rik	139	169	144	71	71	115
1500017E21Rik	0	0	0	0	0	0
1600002D24Rik	0	1	1	1	1	0
1600002H07Rik	93	95	125	107	110	105
1600002K03Rik	117	117	112	124	148	145
1600010M07Rik	4	1	0	1	1	1
1600012H06Rik	904	1070	1042	961	1112	1038
1600014C10Rik	709	734	840	798	796	730
1600014C23Rik	2	0	0	2	1	1
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	1	0	0
